"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 22 17:14:03 UTC 2023","Thu Jun 22 17:14:12 UTC 2023","9115","Safari","","Shopping cart","","","Returning to the inventory page from the shopping cart page",""
"passed","Thu Jun 22 17:14:14 UTC 2023","Thu Jun 22 17:14:17 UTC 2023","2860","Safari","","Login","","","Should login with valid credentials",""
"passed","Thu Jun 22 17:13:56 UTC 2023","Thu Jun 22 17:13:59 UTC 2023","3060","Firefox","","Login","","","Should login with valid credentials",""
"passed","Thu Jun 22 17:13:58 UTC 2023","Thu Jun 22 17:14:00 UTC 2023","2019","Firefox","","Login","","","Should not login with empty fields",""
"passed","Thu Jun 22 17:13:43 UTC 2023","Thu Jun 22 17:13:45 UTC 2023","2095","Chrome","","Inventory","","","The inventory item should be moved to the shopping cart",""
"passed","Thu Jun 22 17:14:19 UTC 2023","Thu Jun 22 17:14:20 UTC 2023","1486","Safari","","Login","","","Should not login with locked out user credentials",""
"passed","Thu Jun 22 17:14:17 UTC 2023","Thu Jun 22 17:14:19 UTC 2023","2482","Safari","","Login","","","Should not login with non-existing user credentials",""
"passed","Thu Jun 22 17:14:00 UTC 2023","Thu Jun 22 17:14:03 UTC 2023","2695","Firefox","","Login","","","Should not login with locked out user credentials",""
"passed","Thu Jun 22 17:13:40 UTC 2023","Thu Jun 22 17:13:43 UTC 2023","3265","Chrome","","Shopping cart","","","Making an order using checkout",""
"passed","Thu Jun 22 17:13:43 UTC 2023","Thu Jun 22 17:13:45 UTC 2023","2091","Chrome","","Inventory","","","The inventory item should be removed from the shopping cart",""
"passed","Thu Jun 22 17:14:17 UTC 2023","Thu Jun 22 17:14:19 UTC 2023","2435","Safari","","Login","","","Should not login with empty password field",""
"passed","Thu Jun 22 17:14:12 UTC 2023","Thu Jun 22 17:14:17 UTC 2023","4581","Safari","","Inventory","","","The inventory item should be moved to the shopping cart",""
"passed","Thu Jun 22 17:13:47 UTC 2023","Thu Jun 22 17:13:54 UTC 2023","7037","Firefox","","Shopping cart","","","Returning to the inventory page from the shopping cart page",""
"passed","Thu Jun 22 17:13:58 UTC 2023","Thu Jun 22 17:14:01 UTC 2023","2826","Firefox","","Login","","","Should not login with empty password field",""
"passed","Thu Jun 22 17:14:17 UTC 2023","Thu Jun 22 17:14:19 UTC 2023","1923","Safari","","Login","","","Should not login with empty fields",""
"passed","Thu Jun 22 17:13:59 UTC 2023","Thu Jun 22 17:14:02 UTC 2023","2904","Firefox","","Login","","","Should not login with non-existing user credentials",""
"passed","Thu Jun 22 17:13:55 UTC 2023","Thu Jun 22 17:13:58 UTC 2023","3494","Firefox","","Inventory","","","The inventory item should be removed from the shopping cart",""
"passed","Thu Jun 22 17:13:48 UTC 2023","Thu Jun 22 17:13:56 UTC 2023","7711","Firefox","","Inventory","","","The inventory item details page should be open",""
"passed","Thu Jun 22 17:13:45 UTC 2023","Thu Jun 22 17:13:46 UTC 2023","1054","Chrome","","Login","","","Should not login with non-existing user credentials",""
"passed","Thu Jun 22 17:13:47 UTC 2023","Thu Jun 22 17:13:55 UTC 2023","7723","Firefox","","Shopping cart","","","Making an order using checkout",""
"passed","Thu Jun 22 17:13:40 UTC 2023","Thu Jun 22 17:13:43 UTC 2023","3036","Chrome","","Shopping cart","","","Returning to the inventory page from the shopping cart page",""
"passed","Thu Jun 22 17:13:46 UTC 2023","Thu Jun 22 17:13:47 UTC 2023","784","Chrome","","Login","","","Should not login with locked out user credentials",""
"passed","Thu Jun 22 17:13:54 UTC 2023","Thu Jun 22 17:13:58 UTC 2023","3363","Firefox","","Inventory","","","The inventory item should be moved to the shopping cart",""
"passed","Thu Jun 22 17:14:04 UTC 2023","Thu Jun 22 17:14:14 UTC 2023","9631","Safari","","Shopping cart","","","Making an order using checkout",""
"passed","Thu Jun 22 17:14:13 UTC 2023","Thu Jun 22 17:14:17 UTC 2023","4079","Safari","","Inventory","","","The inventory item should be removed from the shopping cart",""
"passed","Thu Jun 22 17:13:45 UTC 2023","Thu Jun 22 17:13:46 UTC 2023","1079","Chrome","","Login","","","Should not login with empty fields",""
"passed","Thu Jun 22 17:13:43 UTC 2023","Thu Jun 22 17:13:45 UTC 2023","1680","Chrome","","Login","","","Should login with valid credentials",""
"passed","Thu Jun 22 17:13:45 UTC 2023","Thu Jun 22 17:13:46 UTC 2023","1069","Chrome","","Login","","","Should not login with empty password field",""
"passed","Thu Jun 22 17:13:40 UTC 2023","Thu Jun 22 17:13:43 UTC 2023","2963","Chrome","","Inventory","","","The inventory item details page should be open",""
"passed","Thu Jun 22 17:14:05 UTC 2023","Thu Jun 22 17:14:13 UTC 2023","8001","Safari","","Inventory","","","The inventory item details page should be open",""
